Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,aged_15plus_unemployment_rate_percent,agriculture_percent_of_gdp,cell_phones_per_100_people,children_per_woman_total_fertility,corruption_perception_index_cpi,hdi_human_development_index,inflation_annual_percent,internet_users,median_age_years,military_expenditure_percent_of_gdp,murder_per_100000_people,population_density_per_square_km,urban_population_growth_annual_percent,urban_population_percent_of_total,working_hours_per_week
Switzerland,Western Europe,1,7.5870000000000015,0.03411,1.3965100000000001,1.34951,0.9414299999999999,0.66557,0.41978000000000004,0.29678000000000004,2.5173799999999997,4.8,0.6509999999999999,135.0,1.54,86.0,0.939,-0.601,87.5,42.2,0.6659999999999999,,211.0,1.17,73.7,36.5
Iceland,Western Europe,2,7.561,0.048839999999999995,1.3023200000000001,1.4022299999999999,0.94784,0.6287699999999999,0.14145,0.4363,2.70201,3.98,5.45,116.0,1.95,79.0,0.921,6.04,98.2,36.0,0.0,0.7440000000000001,3.29,1.08,93.7,40.0
Denmark,Western Europe,3,7.527,0.033280000000000004,1.32548,1.36058,0.87464,0.6493800000000001,0.48357,0.34139,2.4920400000000003,6.17,0.8029999999999999,124.0,1.79,91.0,0.925,0.701,96.3,41.6,1.12,0.5720000000000001,134.0,0.8390000000000001,87.5,34.9
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.4653099999999997,4.3,1.53,110.0,1.84,88.0,0.949,-2.82,96.8,39.2,1.5,0.389,14.2,1.52,81.1,34.3
Canada,North America,5,7.4270000000000005,0.03553,1.32629,1.32261,0.9056299999999999,0.63297,0.32957,0.45811,2.4517599999999997,6.91,,82.8,1.59,83.0,0.92,-0.7559999999999999,88.5,40.5,1.16,,3.95,0.883,81.3,35.6
Finland,Western Europe,6,7.4060000000000015,0.0314,1.29025,1.31826,0.8891100000000001,0.64169,0.41372,0.23351,2.61955,9.38,2.23,135.0,1.8,90.0,0.895,1.87,86.4,42.5,1.46,,18.0,0.38799999999999996,85.2,36.1
Netherlands,Western Europe,7,7.377999999999999,0.027989999999999998,1.32944,1.28017,0.89284,0.6157600000000001,0.31814000000000003,0.4761,2.4657,6.87,1.62,123.0,1.75,84.0,0.924,0.805,91.7,42.1,1.14,0.603,502.0,0.98,90.2,32.1
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.2890700000000002,0.9108700000000001,0.6598,0.43843999999999994,0.36262,2.3711900000000004,7.43,1.2,129.0,1.91,89.0,0.913,2.07,90.6,40.9,1.08,1.08,23.8,1.41,86.6,35.8
New Zealand,Australia and New Zealand,9,7.2860000000000005,0.033710000000000004,1.2501799999999998,1.3196700000000001,0.9083700000000001,0.6393800000000001,0.42922,0.47501000000000004,2.26425,5.37,5.49,121.0,2.01,91.0,0.915,0.682,88.2,37.3,1.11,,17.5,1.96,86.3,33.0
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.6512399999999999,0.35636999999999996,0.43562,2.26646,6.06,2.37,108.0,1.86,79.0,0.939,-0.728,84.6,37.4,1.96,1.11,3.1,1.58,85.7,33.6
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.2285700000000002,1.22393,0.9138700000000001,0.41318999999999995,0.07785,0.33171999999999996,3.08854,5.25,1.17,131.0,3.0,61.0,0.899,2.24,77.4,30.2,5.67,1.7,373.0,2.06,92.2,36.0
Costa Rica,Latin America and Caribbean,12,7.226,0.044539999999999996,0.95578,1.2378799999999999,0.8602700000000001,0.63376,0.10583,0.25497,3.17728,9.0,4.96,157.0,1.8,55.0,0.7759999999999999,3.78,59.8,31.4,0.0,,94.2,2.26,76.9,43.0
Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.8904200000000001,0.62433,0.18675999999999998,0.33088,2.5332,5.72,1.11,155.0,1.49,76.0,0.893,2.31,83.9,43.2,0.7070000000000001,0.508,105.0,1.45,57.7,35.6
