Country,Region,Happiness Rank,Happiness Score,Standard Error,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,"Unemployment (%, age 15plus)",Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Human Development Index (HDI),Inflation (annual %),Internet users (%),Median age ,Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week
Switzerland,Western Europe,1,7.587,0.03411,1.39651,1.34951,0.94143,0.66557,0.41978,0.29678,2.51738,4.8,0.651,135,1.54,86,0.939,-0.601,87.5,42.2,0.666,,211,1.17,73.7,36.5
Iceland,Western Europe,2,7.561,0.04884,1.30232,1.40223,0.94784,0.62877,0.14145,0.4363,2.70201,3.98,5.45,116,1.95,79,0.921,6.04,98.2,36,0,0.744,3.29,1.08,93.7,40
Denmark,Western Europe,3,7.527,0.03328,1.32548,1.36058,0.87464,0.64938,0.48357,0.34139,2.49204,6.17,0.803,124,1.79,91,0.925,0.701,96.3,41.6,1.12,0.572,134,0.839,87.5,34.9
Norway,Western Europe,4,7.522,0.0388,1.459,1.33095,0.88521,0.66973,0.36503,0.34699,2.46531,4.3,1.53,110,1.84,88,0.949,-2.82,96.8,39.2,1.5,0.389,14.2,1.52,81.1,34.3
Canada,North America,5,7.427,0.03553,1.32629,1.32261,0.90563,0.63297,0.32957,0.45811,2.45176,6.91,,82.8,1.59,83,0.92,-0.756,88.5,40.5,1.16,,3.95,0.883,81.3,35.6
Finland,Western Europe,6,7.406,0.0314,1.29025,1.31826,0.88911,0.64169,0.41372,0.23351,2.61955,9.38,2.23,135,1.8,90,0.895,1.87,86.4,42.5,1.46,,18,0.388,85.2,36.1
Netherlands,Western Europe,7,7.378,0.02799,1.32944,1.28017,0.89284,0.61576,0.31814,0.4761,2.4657,6.87,1.62,123,1.75,84,0.924,0.805,91.7,42.1,1.14,0.603,502,0.98,90.2,32.1
Sweden,Western Europe,8,7.364,0.03157,1.33171,1.28907,0.91087,0.6598,0.43844,0.36262,2.37119,7.43,1.2,129,1.91,89,0.913,2.07,90.6,40.9,1.08,1.08,23.8,1.41,86.6,35.8
New Zealand,Australia and New Zealand,9,7.286,0.03371,1.25018,1.31967,0.90837,0.63938,0.42922,0.47501,2.26425,5.37,5.49,121,2.01,91,0.915,0.682,88.2,37.3,1.11,,17.5,1.96,86.3,33
Australia,Australia and New Zealand,10,7.284,0.04083,1.33358,1.30923,0.93156,0.65124,0.35637,0.43562,2.26646,6.06,2.37,108,1.86,79,0.939,-0.728,84.6,37.4,1.96,1.11,3.1,1.58,85.7,33.6
Israel,Middle East and Northern Africa,11,7.278,0.0347,1.22857,1.22393,0.91387,0.41319,0.07785,0.33172,3.08854,5.25,1.17,131,3,61,0.899,2.24,77.4,30.2,5.67,1.7,373,2.06,92.2,36
Costa Rica,Latin America and Caribbean,12,7.226,0.04454,0.95578,1.23788,0.86027,0.63376,0.10583,0.25497,3.17728,9,4.96,157,1.8,55,0.776,3.78,59.8,31.4,0,,94.2,2.26,76.9,43
Austria,Western Europe,13,7.2,0.03751,1.33723,1.29704,0.89042,0.62433,0.18676,0.33088,2.5332,5.72,1.11,155,1.49,76,0.893,2.31,83.9,43.2,0.707,0.508,105,1.45,57.7,35.6
Mexico,Latin America and Caribbean,14,7.187,0.04176,1.02054,0.91451,0.81444,0.48181,0.21312,0.14074,3.60214,4.31,3.2,85.5,2.22,31,0.762,2.74,57.4,27.5,0.672,,64.8,1.7,79.3,44.8
United States,North America,15,7.119,0.03839,1.39451,1.24711,0.86179,0.54604,0.1589,0.40105,2.51011,5.28,1.07,119,1.93,76,0.92,1.08,74.6,37.6,3.29,,35,0.986,81.7,36.6
Brazil,Latin America and Caribbean,16,6.983,0.04076,0.98124,1.23287,0.69702,0.49049,0.17521,0.14574,3.26001,8.44,4.32,125,1.74,38,0.754,7.57,58.3,31.3,1.36,,24.6,1.18,85.8,38.9
Luxembourg,Western Europe,17,6.946,0.03499,1.56391,1.21963,0.91894,0.61583,0.37798,0.28034,1.96961,6.67,0.23,142,1.56,85,0.898,1.32,96.4,39.3,0.478,0.711,219,2.69,90.2,38.2
Ireland,Western Europe,18,6.94,0.03676,1.33596,1.36948,0.89533,0.61777,0.28703,0.45901,1.9757,9.9,0.893,104,1.99,75,0.923,7.28,83.5,36.9,0.351,,68.2,1.26,62.5,35.4
Belgium,Western Europe,19,6.937,0.03595,1.30782,1.28566,0.89667,0.5845,0.2254,0.2225,2.41484,8.48,0.683,113,1.79,77,0.896,1.11,85.1,41.3,0.924,0.978,373,0.623,97.9,37.3
United Arab Emirates,Middle East and Northern Africa,20,6.901,0.03729,1.42727,1.12575,0.80925,0.64157,0.38583,0.26428,2.24743,,0.741,196,1.77,70,0.84,-15.4,90.5,33.4,,,110,1.27,85.7,
United Kingdom,Western Europe,21,6.867,0.01866,1.26637,1.28548,0.90943,0.59625,0.32067,0.51912,1.96994,5.3,0.593,121,1.88,81,0.91,0.456,92,40.2,1.88,0.192,270,1.11,82.6,35.9
Oman,Middle East and Northern Africa,22,6.853,0.05335,1.36011,1.08182,0.76276,0.63274,0.32524,0.21542,2.47489,,1.64,158,2.74,45,0.796,-18.9,73.5,29,14.4,,13.6,7.35,81.3,
Venezuela,Latin America and Caribbean,23,6.81,0.06476,1.04424,1.25596,0.72052,0.42908,0.11069,0.05841,3.19131,,,93.4,2.34,17,0.767,,61.9,27.4,0.941,,35.3,1.36,88.2,
Singapore,Southeastern Asia,24,6.798,0.0378,1.52186,1.02,1.02525,0.54252,0.4921,0.31105,1.88501,3.79,0.0311,149,1.24,85,0.925,3.59,79,40,3.16,0.361,7910,1.19,100,44.2
Panama,Latin America and Caribbean,25,6.786,0.0491,1.06353,1.1985,0.79661,0.5421,0.0927,0.24434,2.84848,3,2.72,145,2.54,39,0.788,3.06,51.2,28.4,0,,53.4,2.15,66.7,39.1
Germany,Western Europe,26,6.75,0.01848,1.32792,1.29937,0.89186,0.61477,0.21843,0.28214,2.11569,4.62,0.555,118,1.45,81,0.926,2.01,87.6,45.9,1.18,0.506,234,0.879,77.2,35.5
Chile,Latin America and Caribbean,27,6.67,0.058,1.10715,1.12447,0.85857,0.44132,0.12869,0.33363,2.67585,6.51,3.76,131,1.79,70,0.847,4.97,76.6,33.7,1.91,,23.9,0.907,87.4,41
Qatar,Middle East and Northern Africa,28,6.611,0.06257,1.69042,1.0786,0.79733,0.6404,0.52208,0.32573,1.55674,0.16,0.16,151,1.93,71,0.856,-22.9,92.9,31.3,,,214,4.49,98.9,50
France,Western Europe,29,6.575,0.03512,1.27778,1.26038,0.94579,0.55011,0.20646,0.12332,2.21126,10.4,1.61,103,1.98,70,0.897,1.18,78,41.2,2.27,,118,0.745,79.7,36.1
Argentina,Latin America and Caribbean,30,6.574,0.04612,1.05351,1.24823,0.78723,0.44974,0.08484,0.11451,2.836,,5.16,142,2.31,32,0.827,26.6,68,30.8,0.865,,15.9,1.15,91.5,
Czech Republic,Central and Eastern Europe,31,6.505,0.04168,1.17898,1.20643,0.84483,0.46364,0.02652,0.10686,2.67782,5.05,2.23,117,1.52,56,0.878,1.17,75.7,41.4,0.953,0.66,137,0.323,73.5,39.2
Uruguay,Latin America and Caribbean,32,6.485,0.04539,1.06166,1.2089,0.8116,0.60362,0.24558,0.2324,2.32142,7.49,6.13,151,2.01,74,0.795,9.02,64.6,34.9,1.82,,19.6,0.456,95,
Colombia,Latin America and Caribbean,33,6.477,0.05051,0.91861,1.24018,0.69077,0.53466,0.0512,0.18401,2.85737,8.3,6.04,119,1.87,37,0.727,2.45,55.9,30.1,3.12,,43.5,1.35,79.8,43.6
Thailand,Southeastern Asia,34,6.455,0.03557,0.9669,1.26504,0.7385,0.55664,0.03187,0.5763,2.31945,0.597,8.99,150,1.5,38,0.74,0.859,39.3,37.8,1.45,3.15,134,1.94,47.7,43.3
Saudi Arabia,Middle East and Northern Africa,35,6.411,0.04633,1.39541,1.08393,0.72025,0.31048,0.32524,0.13706,2.43872,5.59,2.62,167,2.58,52,0.847,-16.9,69.6,29.8,13.5,,14.7,2.77,83.2,44.1
Spain,Western Europe,36,6.329,0.03468,1.23011,1.31379,0.95562,0.45951,0.06398,0.18227,2.12367,22.1,2.52,110,1.35,58,0.884,0.611,78.7,43.2,1.27,0.557,93,0.219,79.6,37.3
Malta,Western Europe,37,6.302,0.04206,1.2074,1.30203,0.88721,0.60365,0.13586,0.51752,1.6488,5.39,1.1,123,1.44,60,0.856,2.72,76,40.9,0.504,0.606,1340,2.46,94.4,37.5
Taiwan,Eastern Asia,38,6.298,0.03868,1.29098,1.07617,0.8753,0.3974,0.08129,0.25376,2.32323,,,,,,,,,,,,,,,
Kuwait,Middle East and Northern Africa,39,6.295,0.04456,1.55422,1.16594,0.72492,0.55499,0.25609,0.16228,1.87634,2.2,0.538,149,1.99,49,0.8,-26,77.5,33.4,5.03,,221,3.97,100,
Suriname,Latin America and Caribbean,40,6.269,0.09811,0.99534,0.972,0.6082,0.59657,0.13633,0.16991,2.79094,7.22,9.21,136,2.4,36,0.725,-2.1,42.8,28.4,,,3.55,0.909,66.1,
Trinidad and Tobago,Latin America and Caribbean,41,6.168,0.10895,1.21183,1.18354,0.61483,0.55884,0.0114,0.31844,2.26882,2.21,0.447,156,1.77,39,0.78,-12.1,69.2,33.9,0.78,,265,0.236,53.3,
