Country,Region,Happiness Rank,Happiness Score,Lower Confidence Interval,Upper Confidence Interval,Economy (GDP per Capita),Family,Health (Life Expectancy),Freedom,Trust (Government Corruption),Generosity,Dystopia Residual,Unemployment (% age 15plus),Agriculture (% of GDP),Cell phones / 100ppl,Fertility (Children/woman),Corruption Perception Index (CPI),Inflation (annual %),Internet users (%),Military expenditure (% of GDP),Murder /100000 people,Population density /km^2 ,Urban population growth (annual %),Urban population (%),Working hours / week,id
Denmark,Western Europe,1,7.526,7.46,7.592,1.44178,1.16374,0.79504,0.57941,0.44453,0.36171,2.73939,6.18,0.801,122,1.74,90,-0.0464,97,1.17,,135,0.913,87.6,34.3,DNK
Switzerland,Western Europe,2,7.509,7.428,7.59,1.52733,1.14524,0.86303,0.58557,0.41203,0.28083,2.69463,4.92,0.653,134,1.55,86,-0.566,89.1,0.684,,213,1.12,73.7,36.6,CHE
Iceland,Western Europe,3,7.501,7.333,7.669,1.42666,1.18326,0.86733,0.56624,0.14975,0.47678,2.83137,2.98,5.11,121,1.93,78,2.11,98.2,0,0.246,3.32,1.43,93.7,40.1,ISL
Norway,Western Europe,4,7.498,7.421,7.575,1.57744,1.1269,0.79579,0.59609,0.35776,0.37895,2.66465,4.68,2.13,109,1.82,85,-1.11,97.3,1.62,,14.4,1.33,81.5,34.5,NOR
Finland,Western Europe,5,7.413,7.351,7.475,1.40598,1.13464,0.81091,0.57104,0.41004,0.25492,2.82596,8.82,2.31,134,1.77,89,0.791,87.7,1.43,,18.1,0.346,85.3,36.2,FIN
Canada,North America,6,7.404,7.335,7.473,1.44015,1.0961,0.8276,0.5737,0.31329,0.44834,2.70485,7,,84.7,1.58,82,0.612,91.2,1.19,,3.99,1.25,81.3,32.6,CAN
Netherlands,Western Europe,7,7.339,7.284,7.394,1.46468,1.02912,0.81231,0.55211,0.29927,0.47416,2.70749,6.01,1.64,123,1.74,83,0.584,90.4,1.17,0.567,504,1.04,90.6,32.4,NLD
New Zealand,Australia and New Zealand,8,7.334,7.264,7.404,1.36066,1.17278,0.83096,0.58147,0.41904,0.49401,2.47553,5.1,,124,1.99,90,3.18,88.5,1.14,,17.7,2.17,86.4,33,NZL
Australia,Australia and New Zealand,9,7.313,7.241,7.385,1.44443,1.10476,0.8512,0.56837,0.32331,0.47407,2.5465,5.71,2.43,110,1.85,79,-0.458,88.2,2.09,,3.14,1.61,85.8,33.4,AUS
Sweden,Western Europe,10,7.291,7.227,7.355,1.45181,1.08764,0.83121,0.58218,0.40867,0.38254,2.54734,6.99,1.15,128,1.91,88,1.59,89.7,1.06,,24,1.6,86.9,36.2,SWE
